order_id,customer_id,product_id,order_date,order_hour,quantity,unit_price,revenue,discount_rate,category,festival,city,state,city_tier,region,acquisition_channel,cart_adds,page_views,supplier_delay_hours
1,5240,1054,2024-10-01,13,4,426.0475733895377,1704.1902935581509,0.0,Beauty,Diwali,Bengaluru,Karnataka,Tier-1,South,Marketplace,4,58,3.96205624886567
2,5413,1042,2024-02-09,5,4,423.156410181327,1607.9943586890424,0.05,Electronics,Regular,Indore,Madhya Pradesh,Tier-2,Central,Organic,1,45,4.654160858601775
3,5096,1077,2024-01-26,18,2,400.5307436888681,720.9553386399625,0.1,Apparel,NewYear,Coimbatore,Tamil Nadu,Tier-3,South,Paid,7,11,4.4339441543767695
4,5138,1020,2024-02-20,1,4,457.2717666503706,1737.6327132714082,0.05,Accessories,Regular,Lucknow,Uttar Pradesh,Tier-2,North,Paid,3,8,3.5806660574104128
5,5008,1046,2024-06-25,23,2,238.61224362780294,477.2244872556059,0.0,Home,Regular,Bhopal,Madhya Pradesh,Tier-3,Central,Organic,5,30,3.1375291897874438
6,5059,1101,2023-12-22,20,1,422.8272089483422,422.8272089483422,0.0,Beauty,Christmas,Delhi,Delhi,Tier-1,North,Marketplace,7,20,7.76088563605726
7,5099,1107,2024-05-05,4,1,170.62252148864383,170.62252148864383,0.0,Beauty,Regular,Indore,Madhya Pradesh,Tier-2,Central,Affiliate,8,45,3.114590216274778
8,5312,1049,2023-10-31,11,5,92.45396532949279,462.26982664746396,0.0,Apparel,Diwali,Pune,Maharashtra,Tier-2,West,Marketplace,9,57,6.733989988720744
9,5427,1046,2023-11-28,4,2,238.61224362780294,453.36326289282556,0.05,Home,Diwali,Bengaluru,Karnataka,Tier-1,South,Paid,2,23,2.629741706663469
10,5295,1104,2024-08-03,14,3,469.4630333398188,1408.3891000194565,0.0,Home,RakshaBandhan,Delhi,Delhi,Tier-1,North,Marketplace,6,40,5.62034902994927
11,5222,1024,2024-03-02,8,2,469.2462632735195,938.492526547039,0.0,Beauty,Holi,Indore,Madhya Pradesh,Tier-2,Central,Organic,3,21,7.567516459957287
12,5135,1007,2024-08-13,11,4,473.77794011340274,1895.111760453611,0.0,Beauty,RakshaBandhan,Vizag,Andhra Pradesh,Tier-3,South,Marketplace,7,39,3.324987026244978
13,5050,1008,2024-07-22,22,4,85.58704327857207,290.99594714714505,0.15,Accessories,Regular,Delhi,Delhi,Tier-1,North,Paid,4,33,2.6652156885129603
14,5292,1013,2024-11-02,14,5,495.4293518297897,2353.289421191501,0.05,Apparel,Diwali,Vizag,Andhra Pradesh,Tier-3,South,Paid,1,5,3.1415407586425075
15,5070,1105,2023-11-25,20,5,432.9652116038074,2056.584755118085,0.05,Home,Diwali,Mumbai,Maharashtra,Tier-1,West,Paid,8,54,3.961264730694289
16,5395,1004,2024-10-08,15,5,65.56463525371322,311.4320174551378,0.05,Sports,Diwali,Jaipur,Rajasthan,Tier-2,North,Paid,7,27,4.6437426768505885
17,5204,1039,2024-09-21,11,2,405.1902568626811,810.3805137253622,0.0,Apparel,Regular,Indore,Madhya Pradesh,Tier-2,Central,Affiliate,3,61,3.920005620739235
18,5175,1072,2024-03-22,0,3,513.507813228218,1540.523439684654,0.0,Accessories,Holi,Vizag,Andhra Pradesh,Tier-3,South,Referral,8,55,3.160030880797196
19,5013,1073,2023-11-24,2,2,148.02429666055104,296.0485933211021,0.0,Home,Diwali,Nagpur,Maharashtra,Tier-3,West,Organic,4,19,7.909083715619944
20,5121,1099,2023-11-23,12,4,577.5196220842136,2194.5745639200113,0.05,Grocery,Diwali,Nagpur,Maharashtra,Tier-3,West,Organic,4,71,3.5991223490950133
21,5006,1117,2024-04-22,12,4,434.48314401105273,1737.932576044211,0.0,Home,Regular,Kochi,Kerala,Tier-2,South,Marketplace,3,6,2.7597972457209554
22,5362,1048,2023-10-05,12,2,412.67234734523555,825.3446946904711,0.0,Beauty,Diwali,Delhi,Delhi,Tier-1,North,Affiliate,5,48,5.66102233516111
23,5244,1027,2023-11-08,20,5,35.84422181446498,134.41583180424368,0.25,Grocery,Diwali,Hyderabad,Telangana,Tier-1,South,Organic,9,65,5.692871598987238
24,5392,1010,2024-04-30,2,2,228.77083429722293,411.7875017350013,0.1,Apparel,Regular,Coimbatore,Tamil Nadu,Tier-3,South,Paid,1,45,6.824978753815699
25,5282,1106,2024-05-13,15,5,275.1232862648353,1375.6164313241766,0.0,Accessories,Regular,Chandigarh,Chandigarh,Tier-2,North,Paid,6,46,7.855727518098666
26,5477,1044,2024-09-09,17,5,501.03328282316863,1878.8748105868822,0.25,Beauty,Regular,Mumbai,Maharashtra,Tier-1,West,Paid,2,40,4.692544040477131
27,5391,1107,2024-10-24,15,1,170.62252148864383,170.62252148864383,0.0,Beauty,Diwali,Hyderabad,Telangana,Tier-1,South,Affiliate,2,9,3.4234915089135125
28,5073,1041,2024-01-16,5,2,501.2801356741241,1002.5602713482482,0.0,Grocery,NewYear,Ahmedabad,Gujarat,Tier-2,West,Referral,1,55,0.19552586592164145
29,5058,1090,2024-02-10,9,2,99.86414060076936,199.72828120153872,0.0,Accessories,Regular,Lucknow,Uttar Pradesh,Tier-2,North,Marketplace,3,76,2.124297163303891
30,5444,1077,2023-12-19,1,5,400.5307436888681,1501.9902888332554,0.25,Apparel,Christmas,Vizag,Andhra Pradesh,Tier-3,South,Affiliate,7,64,4.417123536665794
31,5134,1085,2023-12-29,4,4,63.12823785762863,252.51295143051453,0.0,Home,Christmas,Kochi,Kerala,Tier-2,South,Organic,7,9,1.6381163068616886
32,5382,1078,2024-03-24,19,1,338.6489698813542,287.8516243991511,0.15,Electronics,Holi,Bhopal,Madhya Pradesh,Tier-3,Central,Marketplace,8,21,0.8297564906170924
33,5314,1036,2024-11-01,14,5,86.65368814792826,389.9415966656772,0.1,Sports,Diwali,Indore,Madhya Pradesh,Tier-2,Central,Affiliate,2,67,4.131655789903078
34,5350,1012,2024-09-22,20,2,389.88042084759206,740.7727996104248,0.05,Sports,Regular,Indore,Madhya Pradesh,Tier-2,Central,Referral,1,58,5.553518438151226
35,5133,1001,2024-09-30,16,2,268.9382794537109,537.8765589074218,0.0,Sports,Regular,Bengaluru,Karnataka,Tier-1,South,Organic,9,32,3.5070439082216276
36,5156,1050,2024-03-29,5,1,127.9458394603139,127.9458394603139,0.0,Grocery,Holi,Kochi,Kerala,Tier-2,South,Organic,9,23,5.7935752054539
37,5277,1106,2024-06-19,19,1,275.1232862648353,247.61095763835178,0.1,Accessories,Regular,Lucknow,Uttar Pradesh,Tier-2,North,Marketplace,7,39,5.233165927848143
38,5011,1077,2024-07-16,16,3,400.5307436888681,1201.5922310666042,0.0,Apparel,Regular,Delhi,Delhi,Tier-1,North,Marketplace,8,7,6.298466626197318
39,5155,1080,2024-01-06,4,1,401.94498879315864,381.8477393535007,0.05,Beauty,NewYear,Jaipur,Rajasthan,Tier-2,North,Organic,8,11,8.346876916791183
40,5253,1031,2024-04-03,0,1,580.8307421361839,580.8307421361839,0.0,Electronics,Regular,Nagpur,Maharashtra,Tier-3,West,Referral,6,10,9.228053281338191
41,5102,1058,2024-05-08,18,4,92.4802288953179,314.43277824408085,0.15,Apparel,Regular,Indore,Madhya Pradesh,Tier-2,Central,Marketplace,5,66,5.463342233008753
42,5142,1048,2024-02-27,17,2,412.67234734523555,742.810225221424,0.1,Beauty,Regular,Chandigarh,Chandigarh,Tier-2,North,Organic,9,8,3.080299620182461
43,5491,1016,2024-04-07,2,4,337.2050243393425,1281.3790924895015,0.05,Sports,Regular,Pune,Maharashtra,Tier-2,West,Organic,7,46,4.123671773043135
44,5144,1073,2024-03-25,11,5,148.02429666055104,703.1154091376175,0.05,Home,Holi,Lucknow,Uttar Pradesh,Tier-2,North,Marketplace,8,26,7.146509170254538
45,5451,1043,2023-10-25,21,1,194.29631841540422,194.29631841540422,0.0,Home,Diwali,Ahmedabad,Gujarat,Tier-2,West,Referral,2,61,2.213550089414861
