timestamp,date,hour,visitors,add_to_cart,purchases,bounce_rate
2024-01-01 00:00:00,2024-01-01,0,1835,257,123,0.35971664660542096
2024-01-01 01:00:00,2024-01-01,1,2256,258,169,0.3813144143697035
2024-01-01 02:00:00,2024-01-01,2,2373,336,213,0.5199211798421228
2024-01-01 03:00:00,2024-01-01,3,2756,341,197,0.5503919601212359
2024-01-01 04:00:00,2024-01-01,4,2969,293,180,0.530072804287426
2024-01-01 05:00:00,2024-01-01,5,2951,500,187,0.4220122829092185
2024-01-01 06:00:00,2024-01-01,6,3039,868,332,0.4673360917202722
2024-01-01 07:00:00,2024-01-01,7,3019,419,227,0.5516602225200185
2024-01-01 08:00:00,2024-01-01,8,2824,191,121,0.6805069906904034
2024-01-01 09:00:00,2024-01-01,9,2719,223,98,0.6725693080716882
2024-01-01 10:00:00,2024-01-01,10,2438,158,100,0.6273455141086208
2024-01-01 11:00:00,2024-01-01,11,2152,329,169,0.5721653500844338
2024-01-01 12:00:00,2024-01-01,12,1888,464,156,0.3326353707289026
2024-01-01 13:00:00,2024-01-01,13,1662,224,51,0.6247137908061133
2024-01-01 14:00:00,2024-01-01,14,1364,341,126,0.5214620904222883
2024-01-01 15:00:00,2024-01-01,15,1091,55,18,0.48638847768771487
2024-01-01 16:00:00,2024-01-01,16,959,79,50,0.6817984805641204
2024-01-01 17:00:00,2024-01-01,17,832,146,64,0.5874258223244864
2024-01-01 18:00:00,2024-01-01,18,781,157,51,0.28832288252960026
2024-01-01 19:00:00,2024-01-01,19,811,95,54,0.5426857637440441
2024-01-01 20:00:00,2024-01-01,20,866,229,85,0.5690739633708762
2024-01-01 21:00:00,2024-01-01,21,1097,108,68,0.663399394384549
2024-01-01 22:00:00,2024-01-01,22,1239,159,87,0.35231384847059405
2024-01-01 23:00:00,2024-01-01,23,1701,88,23,0.3043161938308955
2024-01-02 00:00:00,2024-01-02,0,875,233,121,0.2983626670663356
2024-01-02 01:00:00,2024-01-02,1,1033,126,64,0.517191270882198
2024-01-02 02:00:00,2024-01-02,2,1181,283,146,0.6923752986763133
2024-01-02 03:00:00,2024-01-02,3,1170,154,39,0.6635952246317337
2024-01-02 04:00:00,2024-01-02,4,1310,179,83,0.5064061228431957
2024-01-02 05:00:00,2024-01-02,5,1262,289,76,0.5737058486063437
2024-01-02 06:00:00,2024-01-02,6,1360,78,16,0.6961210282663276
2024-01-02 07:00:00,2024-01-02,7,1294,211,74,0.5004189903808143
2024-01-02 08:00:00,2024-01-02,8,1223,293,110,0.36725960291674953
2024-01-02 09:00:00,2024-01-02,9,1238,180,91,0.5251992656967573
2024-01-02 10:00:00,2024-01-02,10,1085,55,13,0.604036915367992
2024-01-02 11:00:00,2024-01-02,11,913,59,39,0.5426819715535163
2024-01-02 12:00:00,2024-01-02,12,899,220,109,0.41798359100497323
2024-01-02 13:00:00,2024-01-02,13,741,121,52,0.5704143613241078
2024-01-02 14:00:00,2024-01-02,14,647,35,18,0.2813236371428516
2024-01-02 15:00:00,2024-01-02,15,412,93,46,0.45437159325289295
2024-01-02 16:00:00,2024-01-02,16,380,81,20,0.522045600365136
2024-01-02 17:00:00,2024-01-02,17,406,80,22,0.2925170019004145
2024-01-02 18:00:00,2024-01-02,18,389,88,28,0.47396766440305477
2024-01-02 19:00:00,2024-01-02,19,382,71,35,0.34907167870714934
2024-01-02 20:00:00,2024-01-02,20,361,105,25,0.31817813624384883
2024-01-02 21:00:00,2024-01-02,21,440,108,43,0.6059033133662219
2024-01-02 22:00:00,2024-01-02,22,559,139,90,0.4512830246300982
2024-01-02 23:00:00,2024-01-02,23,798,226,46,0.5038638252796213
2024-01-03 00:00:00,2024-01-03,0,516,112,60,0.3803403488258259
2024-01-03 01:00:00,2024-01-03,1,624,41,21,0.34091077818306353
2024-01-03 02:00:00,2024-01-03,2,748,185,53,0.6070988384296041
2024-01-03 03:00:00,2024-01-03,3,921,58,24,0.33671284115520017
